date,a,b,c,d,e,mb
10-25-16,8,9,24,49,67,13
10-28-16,7,38,46,57,66,2
11-1-16,19,24,31,39,45,13
11-4-16,10,29,32,44,46,10
11-8-16,46,48,53,61,74,12
11-11-16,16,40,47,53,59,11
11-15-16,9,17,23,57,71,6
11-18-16,31,32,49,55,58,15
11-22-16,1,43,45,66,69,7
11-25-16,44,47,49,69,75,10
11-29-16,22,33,49,51,59,8
12-2-16,3,33,35,49,51,1
12-6-16,13,34,48,53,63,12
12-9-16,19,27,47,67,68,1
12-13-16,2,15,26,34,41,14
12-16-16,1,8,15,36,43,6
12-20-16,1,12,14,48,65,2
12-23-16,21,30,39,60,69,15
12-27-16,2,28,30,38,39,11
12-30-16,6,21,33,39,43,2
1-3-17,14,16,23,49,53,12
1-6-17,6,10,44,47,54,6
1-10-17,11,20,40,41,59,15
1-13-17,10,44,58,74,75,11
1-17-17,20,31,54,56,59,3
1-20-17,7,9,24,41,53,14
1-24-17,8,42,54,63,67,11
1-27-17,17,37,53,54,61,8
1-31-17,3,14,27,62,72,4
2-3-17,3,6,29,30,64,3
2-7-17,23,28,37,56,71,12
2-10-17,32,39,51,62,75,14
2-14-17,7,11,33,60,68,15
2-17-17,4,56,58,67,75,8
2-21-17,9,21,30,32,75,9
2-24-17,12,29,33,42,68,14
2-28-17,20,33,45,58,69,4
3-3-17,14,26,39,48,51,9
3-7-17,3,30,45,53,68,11
3-10-17,26,38,42,58,70,5
3-14-17,16,23,28,33,59,13
3-17-17,11,27,31,58,60,10
3-21-17,4,45,53,73,75,7
3-24-17,5,28,37,61,69,1
3-28-17,30,33,35,37,46,10
3-31-17,17,24,27,32,58,10
4-4-17,13,24,34,35,55,9
4-7-17,30,33,43,47,69,15
4-11-17,19,34,35,38,49,8
4-14-17,5,10,55,60,73,12
4-18-17,8,29,30,43,64,6
4-21-17,1,12,13,32,34,10
4-25-17,3,13,33,40,50,2
4-28-17,6,13,18,20,31,13
5-2-17,5,14,42,43,58,1
5-5-17,4,23,33,47,53,7
5-9-17,6,29,45,69,73,11
5-12-17,28,34,41,42,47,13
5-16-17,4,35,39,56,72,11
5-19-17,1,4,5,24,30,1
5-23-17,6,13,17,33,60,14
5-26-17,25,26,28,37,56,5
5-30-17,5,20,32,37,67,5
6-2-17,7,42,57,69,72,10
6-6-17,3,5,16,49,75,5
6-9-17,3,16,28,33,37,9
6-13-17,27,51,62,68,75,8
6-16-17,18,22,26,30,44,9
6-20-17,2,15,41,49,63,3
6-23-17,12,20,53,66,74,11
6-27-17,4,21,45,52,57,14
6-30-17,10,38,51,55,64,6
7-4-17,16,39,47,53,71,15
7-7-17,2,9,11,28,60,10
7-11-17,7,18,24,55,74,10
7-14-17,11,12,24,32,73,1
7-18-17,8,12,23,51,73,6
7-21-17,18,31,36,50,74,10
7-25-17,2,5,26,58,60,6
7-28-17,4,6,31,49,52,11
8-1-17,20,22,52,57,73,7
8-4-17,9,17,25,63,71,4
8-8-17,11,17,50,52,74,14
8-11-17,23,33,53,56,58,6
8-15-17,7,16,20,66,73,7
8-18-17,1,31,34,40,75,6
8-22-17,24,35,46,50,51,7
8-25-17,17,38,42,51,65,11
8-29-17,2,13,17,35,73,3
9-1-17,4,13,31,50,64,12
9-5-17,11,17,59,70,72,1
9-8-17,4,5,14,26,73,14
9-12-17,26,37,41,54,65,3
